frame,qerr21_max,qerr21_mean,qerr_leg_mean,root_pos_err_m,root_ori_err_deg,root_z,tilt_deg,n_contacts,resid_max,max_torque
168,0.190619,0.058932,0.094182,0.377117,0.5067,0.135336,24.457,2,0.308218,3.0000
169,0.127984,0.038285,0.059568,0.379073,4.5280,0.136069,24.298,3,0.231877,3.0000
170,0.183973,0.042049,0.068737,0.384620,5.8995,0.139453,24.419,3,0.199125,3.0000
171,0.184832,0.046194,0.077091,0.381105,7.8210,0.145061,24.737,3,0.182893,3.0000
172,0.205329,0.040907,0.068686,0.377481,4.2453,0.146662,26.337,2,0.209114,3.0000
173,0.268313,0.055807,0.095743,0.376931,6.0900,0.146988,26.814,4,0.303743,3.0000
174,0.297624,0.077230,0.133459,0.373072,7.3734,0.140054,26.077,2,0.228221,3.0000
175,0.392531,0.077036,0.131355,0.374754,7.0483,0.137375,27.185,2,0.363279,3.0000
176,0.341682,0.074407,0.127260,0.380531,8.6567,0.139703,30.018,3,0.307284,3.0000
177,0.299580,0.068162,0.117786,0.385110,10.8717,0.134734,31.003,3,0.408132,3.0000
